name,price,stock_quantity,produced_at,expires_at,user_id,store_id
k QZt fQVCKQRItOEaklj,455,959,2018-08-09,2022-09-28,2,10
jAShfcRpuhJUxmNKrmwtPQbVD,4129,806,2018-08-04,2023-06-13,2,6
rxiDigHsru,1461,768,2019-04-12,2024-03-23,2,10
JcCwLAdLUbVfXNGHyQTJuK,1465,820,2019-06-13,2020-08-08,2,6
RYaPZmEJEOcWVReAAjgHM,3373,364,2019-12-08,2022-08-09,2,9
ILvxMGTDyuqQLlrNpPnXGw,100,322,2018-06-25,2020-05-15,2,8
CELRRE wMvdumjexpqrNZfx,428,277,2018-02-08,2024-05-01,2,7
ErvCYcZTGcpw IiNYZGmsq,4440,203,2019-03-19,2020-05-16,2,7
sjgBfJYTYYAlEFWDL,880,116,2019-10-19,2020-05-12,2,7
ZNSwAzVsrJuTdOUiFeIMTSfqA,2587,719,2018-09-07,2023-07-15,2,6
jVYdCQntUjvXnibME,369,598,2019-03-09,2022-12-12,2,9
cWsNrhuOTggoOMk,1068,300,2018-06-19,2023-10-28,2,10
QuwrkPsYOZblAL,1743,478,2018-01-13,2024-10-27,2,8
ZdySvaiManHIeBumuDUMrlClE,646,753,2019-10-07,2022-06-21,2,8
zBOhydyD GEZX,3349,898,2019-11-28,2020-09-29,2,8
XNRMvZJBPMutObgBWYnlsPI,3357,638,2018-09-24,2020-08-23,2,6
gpHgccRGHGFjUHTmowhg,1689,650,2018-09-02,2021-10-31,2,9
ohcdMCoGhuZuNqV,3557,688,2018-07-26,2021-12-24,2,6
q fFETvkpR eyE,505,330,2019-08-25,2024-03-06,2,9
BjOQKyYwAd jzC,3756,259,2019-08-08,2023-06-26,2,10
EJPRWExa XpStaHdjMhesHm,4038,835,2018-04-06,2022-04-06,2,8
QlVBbsysMOmjqYlDAoiCeBV,4176,161,2019-03-29,2024-02-02,2,9
wEfNuVIn SfMuaQQMOf,4145,266,2018-11-14,2020-04-26,2,10
A OiMuPKCELRGpUpMbuzeaY,3712,689,2018-01-05,2021-02-08,2,6
pKJy CAMVwDAOGi,95,500,2018-12-27,2024-07-03,2,9
WvAPMgbZLHLyGmiCCLu,2152,182,2018-11-29,2021-04-01,2,8
DTZcPtGlzMkYnqHKDuw,3789,507,2019-01-30,2023-01-23,2,8
SGfjbyFNuV,1618,479,2018-07-19,2021-09-29,2,7
nfUBlEbRntEbj,612,358,2018-11-04,2020-04-14,2,9
pLzbvVi QommaYafeQgEUTorU,335,817,2018-03-15,2024-07-31,2,7
IrkTGLysylX,2696,234,2019-10-30,2020-10-25,2,9
p m EBSfPPdJwQkbkcqtbZj,4664,160,2019-02-22,2024-12-01,2,8
FwOMuws HiyBoWZoyskyTu,2188,974,2018-03-21,2022-05-05,2,7
YLscZbbSFOPh HxubaMpr,4287,409,2019-04-15,2024-12-17,2,9
cEhcpDLGwJhCflARQKmaIj,889,462,2018-02-23,2022-05-27,2,10
ks  ChKTRJKmVDjEP,85,376,2018-12-18,2023-01-21,2,9
ikjFvyjIvvjKc,1838,39,2019-04-03,2024-01-04,2,10
fdXbRHrBRKyKiW,3200,986,2019-10-28,2023-01-18,2,10
NDqTWGsmlxuErTGToSwBM,1587,630,2018-07-18,2022-08-03,2,9
KqjjyqNKXEhn,4952,910,2018-07-26,2020-06-24,2,8
IganUyjgxu,2221,891,2019-03-15,2022-11-30,2,10
DDiwJjPpjmQ,2396,219,2018-11-21,2023-09-29,2,7
QyssndvLSdGTAQQfeJLO,689,733,2018-08-29,2023-01-18,2,7
UCxrVaKjycvWe,4677,543,2018-07-23,2021-08-07,2,7
puBldGpPkMgLLwtdAbKkg,2907,781,2019-04-13,2023-07-07,2,9
hSAiJZKmfFNJ,927,356,2019-05-04,2023-05-02,2,6
cFlOhkdnbi,2297,216,2019-08-15,2022-11-16,2,6
grJtgCOxglQ,1484,503,2018-01-07,2022-04-15,2,6
UePAbeSPipPJWCDhpzqVLYV,3573,861,2018-04-04,2023-07-25,2,9
o gueUkzSIRt,4083,838,2019-12-03,2020-07-25,2,9
hIrAIBkFxWpadcvAburL,1647,991,2018-12-22,2023-03-14,2,7
cIuJfAEQpuzkfv,4071,450,2018-01-08,2024-03-06,2,7
" ebIgBReKiMsf VPhTfivMJTU",3465,217,2019-12-09,2022-01-14,2,10
tyQDLndLSXlK,593,390,2018-02-04,2024-07-02,2,6
PbouhTWMuLmYit,546,851,2018-12-28,2022-07-06,2,6
yHThSRciHhHPk,1055,272,2018-08-23,2020-08-18,2,8
ozpGgZLEUXvOcFWxgVyp,4767,270,2019-07-25,2024-06-08,2,8
DrCBjozbmWZVyqfypla,40,931,2019-03-26,2023-05-08,2,6
ZtNvfupVJ VXE,1904,302,2019-10-17,2022-10-16,2,8
V TPpopoDonDaq,2308,206,2019-09-05,2024-10-23,2,7
iKvACiRzZr,333,38,2018-03-20,2022-08-29,2,7
mdlcKIMdCBIG,2343,978,2019-05-17,2022-04-20,2,8
" ReuOgyILDzoMQehNnYTTkb",4977,821,2018-05-04,2024-05-05,2,7
dsJRikdIN Zl,4563,19,2018-06-27,2022-02-08,2,6
jZqCzPWpWiOinoAnBIWCVX,1861,659,2018-12-10,2022-07-21,2,10
"KfRfOXKZSkKhdTctssJXO ",1572,952,2018-06-19,2022-06-29,2,7
IUiEAxV hIbvI,355,271,2018-04-17,2020-08-21,2,10
ZbuMzRlNlVpvtEnLH,1312,699,2018-02-21,2020-02-17,2,6
kgfKRgYnEzt R,2181,23,2019-11-29,2021-12-21,2,10
wYvWwSSHfUiJeyEaIFVNChFSC,1075,465,2019-01-24,2023-01-13,2,8
ywRJIJEXckAYEFtcKJNajv,3535,216,2019-11-24,2022-06-18,2,9
OWppkXmlKiQuiqAThq,320,454,2019-03-17,2020-05-28,2,9
ypxgODwQqpHuotDgUAuUktvt,201,176,2019-07-03,2020-10-03,2,6
DcVXTnGdv qoFRAVUvIAO,3035,563,2018-12-23,2022-07-30,2,6
tdRXiNGyeadQzmWN,1862,845,2018-04-03,2024-06-12,2,9
BzvmfeItciwpjZtZC,4119,891,2018-10-18,2024-01-08,2,8
iK xVwKYZaRWXSE,3708,905,2019-04-18,2024-08-24,2,10
EY aIlMBGjZCIUq,2955,777,2018-09-08,2024-08-23,2,9
mYmeEXjPDukPxI,1462,147,2019-04-14,2022-11-28,2,6
ioXOUyaoObER,4538,238,2018-05-23,2024-03-15,2,6
FszgnwGWpfXbTBjcAyFc,3372,847,2019-08-04,2022-08-20,2,8
TUHlwfCXbPVZcTF,492,506,2019-03-25,2023-05-23,2,10
ynElYsffkDZdzwoxSo,104,658,2018-05-24,2021-02-11,2,7
LdfDicVXYhir,2371,129,2019-02-10,2020-03-29,2,6
dKwdAAsbHkKkBPaOglwL,3074,766,2018-08-02,2023-08-16,2,8
ViAedECsXBHNNnAJ,2011,634,2018-04-02,2023-09-26,2,10
jVdZFFfWyjRxQ,2830,376,2018-01-02,2020-10-20,2,8
XSQT EFjqaovwizizRJwf,4590,171,2019-05-19,2022-11-13,2,10
dveLlizrNHTdfIHZ,4213,833,2018-12-06,2022-08-25,2,10
uBIMtbWSOuLbdpitECOKu,3079,77,2018-08-27,2023-10-04,2,8
oqlTqdARwe,1098,383,2018-08-14,2024-04-10,2,8
CTBgbRCTxWmbxAImkvXzi,660,820,2019-10-17,2020-02-26,2,10
MgpDyZznkaOD XhXGua,1861,689,2019-01-11,2022-12-02,2,8
VjELQUSiFcir,2180,118,2018-09-29,2024-01-07,2,7
SvRCZyVsznIL MUKqQrpt,2532,809,2019-01-24,2022-05-30,2,6
gXKnxBHXeJNQiHKvOFzaph,3779,723,2019-05-28,2022-04-03,2,10
XvFpsGftSfPHuLHcwe,3595,671,2018-04-08,2022-05-30,2,10
kdsIVknUBXpFhRTNPJRV,125,54,2019-05-17,2022-05-25,2,10
yysklMMiTGF,3298,982,2019-11-01,2020-04-28,2,6
hKjzOvZRvCqdLlsgjIYPlRNSs,744,867,2018-10-18,2022-12-05,2,10
SwoXSUf dtfGlzSyJd,561,397,2018-12-20,2024-06-24,2,7
OhTwtCFDPbmbgYGa,612,474,2018-09-15,2024-02-19,2,7
LOHoJrtPNJGA,473,679,2019-07-30,2021-11-18,2,6
PujabtPqUSWvsyhYGlpYJk,2689,344,2019-11-27,2024-07-05,2,10
dlDomsbYTuRwwNfYbujhItc,2160,225,2019-12-19,2023-10-11,2,9
IqSciQvSDIwWjSmHTzru,1967,73,2019-02-03,2020-09-26,2,10
wLPmxlWnIlvlT,1072,963,2019-08-09,2023-04-01,2,7
VeIMKPCKev,1767,524,2018-02-19,2023-05-25,2,6
Ybya AMHLeRKPMjKXosZT,907,991,2018-01-18,2024-04-22,2,7
qKRYuAqVDANSADXEQmVY,205,689,2019-11-18,2023-09-06,2,7
" RUljlpBkwwbLHzbKKBEzWNN",1263,211,2019-03-18,2022-10-02,2,10
lAEQYrAPrwCytwedMcky xBzj,1547,991,2018-03-25,2020-12-14,2,8
lfbtEtCnEbskPU,1726,934,2019-06-09,2022-11-16,2,8
cdwhoYtAAZFhhOfGls,2328,216,2018-01-27,2022-03-08,2,8
llZYWy YfWVZap,3809,506,2019-01-04,2021-02-15,2,6
CLEMEskfAEXbCCgPyRnSKbAx,4730,229,2019-02-25,2020-06-23,2,7
dupEGXzs qcDyZ,4332,699,2018-12-26,2024-09-13,2,8
eiZyecCuFtWCWhaMdbMezPYJ,3323,621,2019-11-04,2022-12-03,2,6
PwPzTZFqQXGMq,2726,90,2018-03-21,2022-05-31,2,7
bZtkPKOFCItvRP,3592,36,2018-01-14,2020-06-03,2,9
kpTLInlpdcnQX PfkHlMo,2126,23,2019-03-18,2020-04-20,2,8
wHAJkqxMepxLAlFkYHymlfQp,297,158,2018-08-23,2022-03-14,2,7
dyyMpgFakQriRhPQVtNeS,2606,308,2019-11-22,2023-07-30,2,7
FWh YlHSVsvooLYDKcu,539,105,2019-03-16,2024-02-06,2,9
" snIdtFLumrxbWzvIsgf",2193,727,2018-01-10,2022-08-09,2,9
" BgKZjuokluputEcvA",2523,223,2018-10-15,2022-07-26,2,6
AbVjjbWpgU,899,518,2018-10-24,2023-03-30,2,9
yFEdpkKhCCgoCDKWdVLXp,83,598,2019-07-21,2022-12-23,2,10
rkfndzmMzsiezXITtK,1002,938,2019-04-22,2023-11-09,2,8
CJEspnV wU,3467,425,2018-06-11,2020-03-08,2,9
AGyEkdwjnVbD,1796,765,2018-08-27,2023-08-12,2,8
bqjPJmFsUQnvdFjmfI x,4461,447,2018-06-27,2023-10-24,2,7
n uLdvcTycMhzeVPkE,4225,304,2019-10-25,2023-06-13,2,9
SzEoFJxcoE,335,529,2018-10-02,2022-07-09,2,7
zbVnqstWGVCiCmPHyJGD,4809,251,2019-06-22,2020-07-07,2,7
lcYdQhYRsPadzRCSkQf,4693,803,2018-08-18,2024-06-15,2,8
EzPxnchjSf,1691,638,2018-07-23,2022-11-06,2,9
"GBKxFJsBpKCYdWah ",3859,221,2018-07-06,2020-04-13,2,10
Ec EIKLSvbdXmeTkju,235,237,2019-07-11,2024-02-15,2,7
LsEFKrReVnZjrjW,3557,811,2019-06-22,2024-12-06,2,8
ZjNBxAEaIXKSXquupGbAS,620,585,2018-05-20,2022-06-13,2,7
rztGeCTZdoUbnpBuymTiPmlq,2420,252,2019-07-03,2020-03-31,2,9
gOCWQSUUJnmEXLaaNFVrrwD,4284,826,2018-03-01,2022-10-12,2,9
jmeVFUFSiHarganNfSZDMGHz,597,870,2019-07-18,2021-12-24,2,8
EddnO fLnftFPFjwtwg,1879,828,2019-01-05,2023-12-30,2,10
YgwanswApbKWbw liikZrS,1795,949,2019-03-13,2020-12-01,2,10
bVSzGTyHdKZKRSwPf,3547,899,2018-01-02,2020-05-12,2,7
VGsnPxRmyRzHlZwfU,3624,312,2019-03-13,2023-08-02,2,6
RdYcqfhUxhZXI,2775,963,2018-11-10,2022-09-04,2,8
NVmgXXokhyCxbYhqVIpq,4596,32,2019-08-26,2022-07-06,2,7
PjnfthMzSvxMU,2648,306,2019-10-31,2022-12-16,2,9
pYmeJ OoWKhKdmvpFWGxiq,1102,907,2019-05-19,2021-06-10,2,10
RbdoilZkOUhBUCtCy,3000,777,2019-07-02,2024-08-01,2,9
RtCiQkBFNlg,322,425,2018-11-18,2023-06-08,2,7
vPbANtAeMKBuUTosmQVozUE,3922,923,2019-04-27,2021-07-08,2,10
YFZFDOiGGmkwSNRHgLKPP,1530,308,2019-12-19,2023-12-20,2,7
"jKKDBfwNgGravL ",2868,386,2019-02-13,2024-11-25,2,8
NwvRpTqSAQkvgzTYkK,903,484,2019-12-21,2020-04-09,2,6
euQTFzdAwLrJzqSfrBrFiXgwP,199,945,2018-02-11,2020-10-29,2,9
gVQZuZs LKyPGTSmEafFaKf,4839,459,2018-04-16,2021-04-06,2,10
tHPDGVbPOORjAiCRtbOj,1058,871,2018-12-26,2022-10-31,2,10
tAbNLpDJeJmEaOz,1608,677,2019-04-29,2023-05-10,2,8
UQiRGgrhECsRAmkqnAwyymJI,2369,209,2019-04-24,2020-04-21,2,8
xwyTCRBOMKwedDcbjZS,1260,320,2019-09-29,2020-06-28,2,6
BXCQpAcWlwCYTASV,3409,200,2019-03-23,2023-08-31,2,6
LbTFhperDumVTojx,1591,512,2019-06-15,2020-09-02,2,9
XeiVnSmUHWaYUSpTMuQUW,1509,262,2019-06-15,2021-09-01,2,7
Pf nLxfNjJXtx,4258,651,2018-04-11,2023-02-22,2,9
STbamzzgheIq,1192,526,2018-04-25,2023-03-21,2,8
pFQzKQNQdNtftfkEG,1112,507,2019-01-23,2021-05-17,2,7
EkNqerS mmvEXcxnayVxKRIzX,2566,235,2019-07-31,2023-09-19,2,7
diIqhHXOmCouOpZTkiuoVVG,1863,817,2018-02-11,2021-03-09,2,9
"sTsUdkVsPuYUiaXxtFRcK ",4160,28,2019-12-12,2020-03-17,2,7
uFOjvCLowGefiddaklWDC,4486,311,2018-10-23,2023-08-31,2,6
zuwbmKNZXFXpdQqHno,4069,917,2018-10-05,2023-07-12,2,10
BCfgujiXBSxUaGItM,1497,135,2018-10-13,2023-03-07,2,8
FqjwsoBKah,4395,195,2018-02-15,2022-07-14,2,9
SNutrqLhhUEk,3383,128,2019-03-18,2024-03-06,2,10
EHMleVAnPqJK,1534,437,2019-06-11,2023-10-21,2,9
mJwXHmamyyJKpetF,446,623,2018-09-23,2021-01-25,2,7
GlShzgdbjEQTbwdJUHgGunh,3719,233,2019-07-25,2020-11-30,2,6
T kfVpLUOLLiZjFHpmaYvKc,3431,423,2019-10-03,2021-11-29,2,9
OxvDuf fpsulRPkqYLbxnbmV,3909,252,2018-11-11,2021-11-25,2,10
gEySRtGCbAYoVrozu,1644,159,2019-02-12,2022-08-25,2,10
yTARJhIuzNMFj,1353,388,2019-01-20,2022-05-20,2,7
INkIKrapEaFNe,4082,230,2019-03-17,2021-01-04,2,10
xuqhBAdKktGUFRI,4571,908,2019-05-21,2022-06-09,2,10
wQszCKBjyP aiLxz zUKkc,2582,879,2018-06-06,2023-11-22,2,8
EkMRcrCBWYjmZlNozaBUD,717,430,2019-12-14,2021-10-12,2,10
CHQMaWJSxISNbLPKhHjIdWk,514,67,2018-12-11,2024-06-30,2,7
FmyTutPJAwwFXIsWZawBwKiO,1428,907,2019-12-05,2024-05-03,2,7
YAmXmIdTbrIM,2061,56,2018-12-18,2023-05-06,2,6
FrAOhJvcqKtJjNyqwZWGJ,3461,242,2019-10-29,2021-04-19,2,7
vXWeZzFcoCzY,3631,627,2018-03-20,2020-09-01,2,7
WHifjLGsDalBh,1392,181,2018-06-17,2024-05-15,2,7
wxPPMXMHmPSLKTIkEq,2980,915,2018-04-24,2023-06-30,2,7
dGQObAtBoFLXIkznkPnbrfg,3943,68,2018-03-25,2023-10-17,2,10
jpqljPl IVqN,2806,56,2019-12-25,2021-11-08,2,10
kQgvqNfgozGYsBSi,2859,503,2018-05-10,2023-08-05,2,7
plYuESjtWZuQdVJlrNp,1279,60,2018-07-04,2023-01-18,2,6
WKmIQcIxc vNbBlal,3015,289,2019-01-03,2024-03-21,2,8
RcJZmvbM g,1246,143,2018-10-29,2021-12-07,2,8
iSKGyiBWqH,2554,311,2018-05-15,2022-11-12,2,10
rByomiCDOoS tzeXKOBPN,1413,769,2019-02-12,2022-04-07,2,9
ToZMjaAqrUVxQXN zRCLc,692,597,2019-04-18,2023-09-03,2,7
LtqMxM AFmRG,4127,444,2018-11-20,2020-11-26,2,7
jJVDqIEGiZbLrKnkqlEWgVnqY,3935,775,2018-05-25,2020-10-04,2,7
ZaUYFfhKZVkFQFlLLlQbY,2382,777,2018-11-13,2020-06-10,2,8
FNyBIiRYRgeM,4751,940,2018-10-31,2023-06-11,2,7
IEyHWFNtaaS,2951,806,2019-06-07,2021-09-18,2,10
PdOyLCLMFpuSK,1403,204,2018-04-16,2023-09-09,2,8
CwVoEwlRgwCy,1114,887,2019-12-27,2021-05-15,2,6
" GlJjpnFJzcWGdRMvfGIVUYIJ",1912,96,2019-08-09,2022-01-16,2,6
cYDfdDveCo GjUfw,3056,27,2018-09-21,2020-04-20,2,8
TRnUtvAxmvUqaPMFnJZBv,593,473,2019-11-26,2023-11-04,2,9
PDgJcpqsIYx,925,71,2018-04-17,2020-09-13,2,6
TKDxnzDQbkgq,3566,144,2018-04-01,2020-06-27,2,6
unTiyaNiJpcVvpwfgL,3973,158,2019-06-28,2021-10-03,2,10
QUWVnDnyFFOBdPQCAEWoA,2596,215,2018-05-07,2022-06-01,2,7
BAyyuuNcKoEJ,125,406,2018-05-08,2024-06-25,2,9
xCcx oVCvIIgYppPPQv,1720,233,2018-01-26,2020-04-17,2,8
qqYixBIwKCPcgLSpSAs,3742,829,2018-06-26,2021-09-07,2,7
osQNkvyjBaNXllEdWcxt,3833,904,2019-08-05,2024-10-13,2,9
jHwFbKBWWfjhqeqeD,2363,907,2018-06-18,2020-03-07,2,6
YNNabTHoUBYWz,4976,413,2019-05-03,2023-10-21,2,6
UaecztiihtdDk,2233,433,2019-07-27,2024-02-15,2,9
oOeMLYIwKsOhvB,1129,46,2019-10-08,2024-05-25,2,9
wreaWLoaSSpdhfQH,3251,352,2018-07-09,2020-06-24,2,9
XGpEvvdYSUIqp,1835,447,2018-11-20,2022-10-27,2,9
rXi WlrqLWAMmjvNGbAL,3696,910,2018-10-17,2024-03-31,2,9
DKVObzVdkrlMqcQ,2673,830,2019-01-15,2023-10-03,2,8
knQsNDWjYPoClgecvEUB,4278,51,2019-05-01,2024-12-22,2,8
jPUWzqErrCZKd,1107,560,2018-11-30,2023-06-24,2,10
jprttgwzJo,1476,130,2019-04-11,2022-01-05,2,7
"BCR kymyacJqxZjGATw ",1079,18,2018-12-17,2020-05-22,2,9
eATdKjTDWxHtFZ,408,567,2018-03-26,2024-04-09,2,10
CQvRCOSoAAFTFYInGIw,3841,765,2018-04-20,2021-04-15,2,6
NGBrNFKXFlnKeROxB,3150,601,2019-10-15,2022-12-30,2,6
zOeVUTUJBPXkHlBHICfwp,4701,521,2019-05-28,2021-03-15,2,8
MQJNvu klO,4323,346,2018-02-08,2020-12-13,2,8
HcLvgtRmLUIQtVenhSJYNsSjH,2242,48,2018-12-16,2020-12-29,2,8
wsMRcpOoHIEVDEaUdH,1634,587,2018-06-21,2024-09-27,2,10
ELWuudURsFVoYXXr,1412,332,2019-07-12,2024-04-14,2,7
gyeQfsEyCkoJhwqX,1664,176,2019-04-08,2021-05-14,2,7
mLlZqMHtwTEGGVQWXcLwasWqP,1539,597,2019-12-27,2021-11-11,2,6
RVgOaYTtoyXavhwxEW,4779,621,2018-08-14,2024-08-01,2,8
nTloHkDXBANTY,3097,907,2019-08-11,2023-10-28,2,6
hSWnJOXjsPcSQmouDb,3295,57,2019-07-07,2024-03-04,2,6
xHHcUdHJmOdCJJGvhGAJiqx,3541,813,2019-06-19,2023-07-16,2,9
kMKCDEZeluUNfvWnVifkZO,1389,565,2019-12-21,2024-08-25,2,10
xDIujQXSJU iGPzP,1835,988,2018-06-06,2020-05-19,2,6
jexUWMyeqRTNN,1158,885,2018-06-30,2022-12-12,2,8
GmUtVJeNJjr QfDfX,523,195,2018-02-21,2021-03-28,2,10
eUYmcChQlVAQaxwLZFT,1824,8,2019-08-27,2024-12-22,2,9
sseSCaesTx,4507,409,2019-01-22,2023-05-31,2,8
zUySQcVKHhslD,1998,891,2018-11-25,2024-09-27,2,6
jOcAKpkuauqg,3498,3,2018-09-03,2022-08-18,2,10
y Tkm JGPpEuhiIH,109,715,2018-09-11,2024-07-05,2,8
zZpfoDIFqvcjd,3287,663,2019-09-29,2022-11-24,2,7
JvHvJAx fyPHjzzYoY,2224,500,2018-10-28,2023-08-14,2,9
IZzwBlTvWMNMzomnZy,2009,473,2019-05-01,2022-02-03,2,8
HOBCUUkhairkfoeuIwtCQj,3546,563,2019-02-08,2024-09-10,2,8
sUQLhtpXkAlI,4360,474,2019-06-17,2023-12-29,2,8
xChUxck ndEQFUTFYB,3663,286,2018-09-30,2022-05-11,2,7
ZAmFiVjhqU,401,840,2019-03-23,2024-10-16,2,7
MisLuhOiuQhovGMAtPcjoyb,1853,943,2019-05-24,2022-11-08,2,9
nfJVvMbPschEmz,754,605,2019-11-21,2024-02-29,2,6
kwfMrsZaUubXXYwBpI,3562,144,2018-12-17,2023-02-08,2,9
RoHnBcfcKVYjPciHgIF,4441,695,2018-04-06,2021-02-14,2,9
LxgSQJtRywAtygcqTQUC,3606,547,2019-10-13,2022-08-21,2,7
pMCSTNbXXiPbpfuPBBSRp,4250,775,2018-08-31,2020-08-04,2,6
XttlYPIvpLmrGNSFcpPiTQl,2405,495,2019-01-29,2021-11-27,2,6
QrEImlENeWYLPTUeILSt,249,526,2018-06-12,2024-12-14,2,10
zEWZCzbvIHBD CaaHdkZFz,3771,234,2018-08-14,2024-12-07,2,9
NtuZOrKSoeLjJKubg,752,677,2018-03-02,2021-06-02,2,7
OCH zBvKcRMBdLkf,4336,879,2019-05-19,2023-12-18,2,8
SvBoMSOLoGyUtLeuPDRqeBA,1621,951,2019-06-10,2022-01-10,2,6
hSAOCMiXvIuB,2313,993,2019-04-01,2024-09-07,2,6
eaLrlOQDHQJxjwjV,704,337,2018-02-06,2022-07-31,2,10
LYUHdiLztVFdUeujO,3757,4,2018-12-11,2020-05-05,2,8
CHYcRBr nh,313,511,2018-06-27,2021-09-30,2,10
ma KQPcOtxCOsTJd glSg s,2176,150,2018-07-19,2024-10-05,2,10
uUzouMYnXSxqi,1685,639,2018-03-25,2024-12-11,2,6
MhbPoJaSNFrABEFOrAt,2119,724,2019-10-12,2022-03-18,2,6
wTz xeggGzmrWqPvgd ycA,254,37,2018-10-24,2023-07-19,2,9
tgwChybDRYNxPcfGfE,2784,293,2019-11-09,2024-01-08,2,8
QXLNXFxfPsEzyF,414,968,2019-07-30,2020-10-02,2,9
KuuoJaOtGlKjoCnNs HrD,185,819,2019-04-06,2024-03-29,2,8
ldjluEjdMfaxLhSqtpaAZyC,4376,288,2018-02-05,2022-10-21,2,7
yjTSagDGPNC,1920,84,2019-02-20,2024-05-25,2,8
nvWZFUaVuZByfYuvXsTT,3758,223,2018-01-02,2024-12-24,2,9
xJhLlmJxHfsnWW Se kk,2871,535,2019-08-20,2023-08-12,2,9
DoZonA bVosaahxlnyRVnDYx,4626,931,2018-02-20,2022-12-22,2,10
NaruRstnXciDI,3037,331,2018-07-23,2020-12-20,2,9
GNApjtAQsCVxITM,4445,204,2018-04-12,2020-02-14,2,10
ERhLCrIpBAEhncSmAxQTUYviu,2817,175,2019-11-19,2022-10-13,2,9
qHpPaRouxRekpOImi,2786,375,2019-05-25,2020-12-17,2,7
lJwvUUjGimdaPimOiQWplMei,4090,675,2018-05-12,2024-01-28,2,8
fjp ShJZoVUxCbqCrUukBd,41,572,2018-04-22,2022-08-26,2,6
bwNmJrfSmoxFB uGS,3501,726,2019-03-16,2024-06-06,2,6
VFVleUlcrpz,387,667,2018-11-26,2021-10-08,2,8
MOShD kpRNshkJMOi,2540,296,2019-01-03,2021-02-01,2,9
BYXkwjbsRHMkSWyjJKyXr,1798,468,2018-04-27,2022-05-26,2,10
V AnvMjPiOfEPxhXSd,3839,956,2019-08-10,2022-05-09,2,7
QirOhHIGJhlBBwjwvbWABPrb,2292,384,2018-11-16,2021-09-22,2,9
hmmPqtHTRwP,3423,663,2018-08-28,2024-02-19,2,9
fISnsrYLGEaOSZLvjfFfiW,657,485,2018-01-25,2023-11-28,2,8
allLmmJXooFSamrjRD,4163,504,2019-05-03,2022-08-29,2,10
EfgcvHtdIvgyExy vAPHIPNxe,2730,614,2019-01-18,2024-06-09,2,7
ceUBhZotZAJWSOiEMQ AbIs,3157,431,2018-06-09,2023-07-18,2,9
kQfyIzRhKjCsIpR,3486,216,2018-08-06,2021-08-12,2,6
BvLWCURMxeascqbAIhUa  Btj,3650,161,2019-05-31,2023-11-25,2,10
RESRFmclOkuPKMc,976,335,2018-06-02,2021-07-15,2,9
wHYJkwUUtJta,200,232,2018-10-15,2021-10-28,2,9
QuoZKVvlefAaGOWSK,3671,46,2018-04-11,2024-10-23,2,7
iJCLUSWxgjBBRtT,3338,76,2019-02-20,2020-12-14,2,6
qrPjfOxObzUtxFAT QjObP,3274,841,2019-09-22,2024-03-13,2,10
MzdRNqtbnNAjp,3875,546,2019-06-21,2023-02-07,2,10
HtqqCuguZGRYXcaqoOzSuZc,177,264,2019-10-14,2021-08-25,2,8
vmDIeCpgrcyq,1984,355,2018-03-30,2022-08-19,2,7
kKJxxzeIWnd,4223,873,2019-08-26,2021-09-26,2,6
gBRuisMMceuCAMqGRGHmdhPpL,1844,619,2018-03-10,2022-06-05,2,8
ArjKUYZSfiowWjrWKQzL,4239,737,2018-06-26,2022-08-20,2,10
P PuGpkb ziFKktVgNYY,2119,71,2019-08-17,2023-01-18,2,6
epUwMzOjDYwqMNDBVUFLt,4565,754,2018-11-18,2022-01-09,2,7
dzwihFxhQMrPirWFNYOzQvX,3759,421,2018-04-03,2023-01-22,2,9
mddXadZdYGAjJfzRcY,76,978,2018-05-14,2024-06-12,2,8
wGipicLHnWc,2140,850,2018-08-25,2023-02-03,2,9
itkyDZdRoSSJnuU,4788,472,2018-09-13,2022-03-09,2,10
Q wllRBF Sfj,572,338,2019-09-01,2024-04-20,2,8
rUuNCXdOaMi,2904,924,2018-10-10,2022-09-21,2,8
ybqzzrRwdZvTCYi,3770,141,2018-08-03,2020-08-23,2,7
aKOpslSKVZzTzAhXpyRcArL,3904,470,2018-09-07,2022-05-13,2,9
daBsbbgfSUSoS,2509,164,2018-11-03,2020-02-04,2,6
DcfOPUJlOEFgb,3166,825,2019-03-21,2020-12-31,2,9
LXyuYGQUxsEeoJGm,219,63,2018-05-25,2020-10-01,2,8
swvhegwDthyeRDXbmSGaS,429,184,2019-10-06,2024-07-24,2,8
EOfiijatmlo,2143,595,2019-07-29,2024-11-15,2,8
DQTBeuudKbvjGfVkyHS,2999,592,2018-11-27,2024-06-27,2,6
NssEsDphffgGqJM,4075,398,2018-08-21,2023-04-02,2,7
TCWiVWZCwqXm,2659,56,2019-07-22,2020-12-18,2,8
qUNdhpLwAUuTVK,3511,920,2018-01-02,2023-05-27,2,6
PKfWDOzOtj,3277,650,2019-07-03,2021-02-12,2,8
MtAPJIUafJKKUwJUEVj m,4008,239,2019-01-23,2020-06-23,2,8
tEJIkADseyYJUMAHljTaDmN,2875,141,2018-12-27,2023-08-14,2,8
iewPrtzDTjt,1778,432,2019-08-06,2022-09-09,2,7
kRLqNGL ZYOVyNbanWmiAEth,2274,995,2018-03-15,2022-06-08,2,10
dVKAOGjycujIHQZdkqghhUxw,2462,596,2018-03-08,2021-10-22,2,6
GeNKQAsxqHqVPToOcmFf,2806,499,2018-11-30,2022-12-16,2,8
